lat,lon,shakeClass,eilClass,label,source
14.22094,121.47123,viii,low,LOW,eil-2014-kmz
14.22055,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21977,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21938,121.47084,viii,low,LOW,eil-2014-kmz
14.21938,121.47123,viii,low,LOW,eil-2014-kmz
14.21860,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21821,121.47084,viii,low,LOW,eil-2014-kmz
14.21782,121.47045,viii,low,LOW,eil-2014-kmz
14.21782,121.47084,viii,low,LOW,eil-2014-kmz
14.21743,121.47045,viii,low,LOW,eil-2014-kmz
14.21743,121.47123,viii,low,LOW,eil-2014-kmz
14.21705,121.47084,viii,low,LOW,eil-2014-kmz
14.21705,121.47123,viii,low,LOW,eil-2014-kmz
14.21666,121.47084,viii,low,LOW,eil-2014-kmz
14.21627,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.21627,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21588,121.47006,viii,low,LOW,eil-2014-kmz
14.21588,121.47084,viii,low,LOW,eil-2014-kmz
14.21588,121.47123,viii,low,LOW,eil-2014-kmz
14.21510,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21471,121.47006,viii,low,LOW,eil-2014-kmz
14.21471,121.47084,viii,low,LOW,eil-2014-kmz
14.21471,121.47123,viii,low,LOW,eil-2014-kmz
14.21432,121.46967,viii,low,LOW,eil-2014-kmz
14.21432,121.47045,viii,low,LOW,eil-2014-kmz
14.21432,121.47084,viii,low,LOW,eil-2014-kmz
14.21393,121.47006,viii,low,LOW,eil-2014-kmz
14.21393,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.21393,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21354,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.21354,121.47084,viii,moderate,MODERATE,eil-2014-kmz
14.21354,121.47123,viii,low,LOW,eil-2014-kmz
14.21315,121.46967,viii,low,LOW,eil-2014-kmz
14.21315,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.21315,121.47084,viii,low,LOW,eil-2014-kmz
14.21277,121.47006,viii,low,LOW,eil-2014-kmz
14.21277,121.47045,viii,low,LOW,eil-2014-kmz
14.21277,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21238,121.47084,viii,low,LOW,eil-2014-kmz
14.21238,121.47123,viii,low,LOW,eil-2014-kmz
14.21199,121.47084,viii,low,LOW,eil-2014-kmz
14.21160,121.46928,viii,moderate,MODERATE,eil-2014-kmz
14.21160,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.21121,121.46967,viii,low,LOW,eil-2014-kmz
14.21121,121.47084,viii,low,LOW,eil-2014-kmz
14.21121,121.47123,viii,low,LOW,eil-2014-kmz
14.21082,121.46928,viii,low,LOW,eil-2014-kmz
14.21082,121.46967,viii,low,LOW,eil-2014-kmz
14.21043,121.46889,viii,low,LOW,eil-2014-kmz
14.21043,121.46928,viii,low,LOW,eil-2014-kmz
14.21043,121.47006,viii,low,LOW,eil-2014-kmz
14.21043,121.47084,viii,low,LOW,eil-2014-kmz
