lat,lon,label,type,source
14.19873,121.51928,1,landslide,eil-2010-hatch
14.1857,121.52592,1,landslide,eil-2010-color
14.16941,121.54914,1,landslide,eil-2010-color
14.14661,121.5226,1,landslide,eil-2010-hatch
14.29495,121.5226,1,landslide,eil-2010-hatch
14.28192,121.52924,1,landslide,eil-2010-hatch
14.2754,121.5989,1,landslide,eil-2010-hatch
14.27215,121.62544,1,landslide,eil-2010-color
14.26237,121.579,1,landslide,eil-2010-color
14.24934,121.54914,1,landslide,eil-2010-hatch
14.23631,121.54251,1,landslide,eil-2010-hatch
14.2298,121.57568,1,landslide,eil-2010-color
14.21351,121.51928,1,landslide,eil-2010-hatch
14.20048,121.57236,1,landslide,eil-2010-hatch
14.19873,121.48433,1,landslide,eil-2010-color
14.19547,121.46111,1,landslide,eil-2010-color
14.19222,121.45779,1,landslide,eil-2010-color
14.18896,121.47106,1,landslide,eil-2010-color
14.1857,121.44784,1,landslide,eil-2010-color
14.1857,121.48433,1,landslide,eil-2010-color
14.17919,121.50424,1,landslide,eil-2010-hatch
14.17267,121.4213,1,landslide,eil-2010-hatch
14.16941,121.43789,1,landslide,eil-2010-hatch
14.16616,121.46775,1,landslide,eil-2010-color
14.15964,121.44784,1,landslide,eil-2010-hatch
14.15964,121.50424,1,landslide,eil-2010-hatch
14.15312,121.49097,1,landslide,eil-2010-hatch
14.14661,121.49097,1,landslide,eil-2010-color
14.13358,121.45448,1,landslide,eil-2010-hatch
14.12055,121.45448,1,landslide,eil-2010-hatch
14.11403,121.46443,1,landslide,eil-2010-color
14.10752,121.42462,1,landslide,eil-2010-hatch
14.10426,121.48102,1,landslide,eil-2010-hatch
14.101,121.46775,1,landslide,eil-2010-color
14.09774,121.46775,1,landslide,eil-2010-color
14.09449,121.50092,1,landslide,eil-2010-color
14.08797,121.4976,1,landslide,eil-2010-color
14.08471,121.50424,1,landslide,eil-2010-hatch
14.2249,121.54413,1,landslide,eil-2014-color
14.22055,121.51363,1,landslide,eil-2014-hatch
14.21837,121.5267,1,landslide,eil-2014-hatch
14.21401,121.5376,1,landslide,eil-2014-color
14.21183,121.53106,1,landslide,eil-2014-color
14.20965,121.55067,1,landslide,eil-2014-color
14.20747,121.58117,1,landslide,eil-2014-color
14.2053,121.55067,1,landslide,eil-2014-color
14.20312,121.57027,1,landslide,eil-2014-hatch
14.20094,121.55067,1,landslide,eil-2014-color
14.19876,121.55285,1,landslide,eil-2014-hatch
14.1944,121.54631,1,landslide,eil-2014-hatch
14.18787,121.52017,1,landslide,eil-2014-hatch
14.18569,121.52235,1,landslide,eil-2014-hatch
14.18133,121.54849,1,landslide,eil-2014-color
14.17697,121.51145,1,landslide,eil-2014-hatch
14.1748,121.56374,1,landslide,eil-2014-color
14.16608,121.52235,1,landslide,eil-2014-color
14.15737,121.51145,1,landslide,eil-2014-color
14.14647,121.51363,1,landslide,eil-2014-hatch
14.21837,121.60194,1,landslide,eil-2014-hatch
14.21619,121.62591,1,landslide,eil-2014-hatch
14.21401,121.61937,1,landslide,eil-2014-color
14.2053,121.59105,1,landslide,eil-2014-hatch
14.19658,121.60194,1,landslide,eil-2014-hatch
14.19222,121.62808,1,landslide,eil-2014-color
14.19005,121.60194,1,landslide,eil-2014-hatch
14.19005,121.66076,1,landslide,eil-2014-hatch
14.18787,121.66512,1,landslide,eil-2014-hatch
14.17697,121.60194,1,landslide,eil-2014-hatch
14.16608,121.60194,1,landslide,eil-2014-hatch
14.15519,121.60194,1,landslide,eil-2014-hatch
14.19873,121.52592,0,safe,eil-2010-wash
14.19547,121.63871,0,safe,eil-2010-wash
14.18896,121.55246,0,safe,eil-2010-wash
14.18244,121.54251,0,safe,eil-2010-wash
14.17593,121.53255,0,safe,eil-2010-wash
14.17267,121.55909,0,safe,eil-2010-wash
14.1629,121.52592,0,safe,eil-2010-wash
14.14009,121.51928,0,safe,eil-2010-wash
14.11403,121.63871,0,safe,eil-2010-wash
14.29821,121.63871,0,safe,eil-2010-wash
14.28518,121.54914,0,safe,eil-2010-wash
14.28518,121.59227,0,safe,eil-2010-wash
14.28192,121.55577,0,safe,eil-2010-wash
14.27866,121.57568,0,safe,eil-2010-wash
14.2754,121.57236,0,safe,eil-2010-wash
14.27215,121.57236,0,safe,eil-2010-wash
14.26889,121.58231,0,safe,eil-2010-wash
14.26563,121.62544,0,safe,eil-2010-wash
14.25912,121.58563,0,safe,eil-2010-wash
14.2526,121.53255,0,safe,eil-2010-wash
14.24934,121.56241,0,safe,eil-2010-wash
14.24609,121.56904,0,safe,eil-2010-wash
14.24283,121.57568,0,safe,eil-2010-wash
14.23957,121.57236,0,safe,eil-2010-wash
14.23631,121.59558,0,safe,eil-2010-wash
14.2298,121.579,0,safe,eil-2010-wash
14.22654,121.57568,0,safe,eil-2010-wash
14.22328,121.58895,0,safe,eil-2010-wash
14.22002,121.58231,0,safe,eil-2010-wash
14.21677,121.57568,0,safe,eil-2010-wash
14.21025,121.54251,0,safe,eil-2010-wash
14.20699,121.56241,0,safe,eil-2010-wash
14.20374,121.59227,0,safe,eil-2010-wash
14.19873,121.44784,0,safe,eil-2010-wash
14.19547,121.50424,0,safe,eil-2010-wash
14.18896,121.44121,0,safe,eil-2010-wash
14.1857,121.50092,0,safe,eil-2010-wash
14.18244,121.49429,0,safe,eil-2010-wash
14.17919,121.48765,0,safe,eil-2010-wash
14.17267,121.44453,0,safe,eil-2010-wash
14.16941,121.47106,0,safe,eil-2010-wash
14.1629,121.41135,0,safe,eil-2010-wash
14.15638,121.46443,0,safe,eil-2010-wash
14.14987,121.41135,0,safe,eil-2010-wash
14.14661,121.50092,0,safe,eil-2010-wash
14.14009,121.44784,0,safe,eil-2010-wash
14.13684,121.43457,0,safe,eil-2010-wash
14.13032,121.41799,0,safe,eil-2010-wash
14.12706,121.48102,0,safe,eil-2010-wash
14.12381,121.51751,0,safe,eil-2010-wash
14.11403,121.45779,0,safe,eil-2010-wash
14.11077,121.44453,0,safe,eil-2010-wash
14.10752,121.49429,0,safe,eil-2010-wash
14.101,121.41135,0,safe,eil-2010-wash
14.09774,121.4777,0,safe,eil-2010-wash
14.09123,121.43126,0,safe,eil-2010-wash
14.08797,121.45779,0,safe,eil-2010-wash
14.08146,121.45116,0,safe,eil-2010-wash
14.2249,121.62155,0,safe,eil-2014-wash
14.2249,121.64987,0,safe,eil-2014-wash
14.22055,121.60412,0,safe,eil-2014-wash
14.21183,121.61283,0,safe,eil-2014-wash
14.20312,121.61501,0,safe,eil-2014-wash
14.19222,121.60412,0,safe,eil-2014-wash
14.18569,121.61283,0,safe,eil-2014-wash
14.17697,121.61501,0,safe,eil-2014-wash
14.17044,121.62373,0,safe,eil-2014-wash
14.17044,121.65205,0,safe,eil-2014-wash
14.16608,121.61283,0,safe,eil-2014-wash
14.15737,121.61501,0,safe,eil-2014-wash
14.185,121.51,0,safe,anchor-poblacion
14.1865,121.5135,0,safe,anchor-poblacion
14.182,121.508,0,safe,anchor-poblacion
14.19,121.505,0,safe,anchor-san-isidro
14.2,121.52,1,landslide,anchor-steep-n
14.21,121.54,1,landslide,anchor-steep-ne
14.16,121.55,1,landslide,anchor-steep-se
14.15,121.53,1,landslide,anchor-steep-s
14.175,121.49,0,safe,anchor-west-low
14.168,121.5,1,flood,anchor-drainage
